IE_XML_ID;IE_NAME;IP_PROP9;IP_PROP13;IC_GROUP0;IC_GROUP1;IC_GROUP2;CV_PRICE_1;CV_CURRENCY_1
7790;"Клапан впускной для Geely EMGRAND EC7 2008>";1136000091;"no image";"EMGRAND EC7 2008>";Двигатель;"Клапан впускной";;RUB
7791;"Клапан выпускной для Geely EMGRAND EC7 2008>";1136000092;"no image";"EMGRAND EC7 2008>";Двигатель;"Клапан выпускной";;RUB
7792;"Колпачок м/съемный выпуск для Geely EMGRAND EC7 2008>";1136000059;"no image";"EMGRAND EC7 2008>";Двигатель;"Колпачок м/съемный выпуск";;RUB
7793;"Диск колесный легкосплавный для Geely EMGRAND EC7 2008>";1064001020;"no image";"EMGRAND EC7 2008>";"Колёсные диски, покрышки";"Диск колесный легкосплавный";;RUB
7794;"Бачок омывателя лобового стекла для Geely EMGRAND EC7 2008>";1067000114;"no image";"EMGRAND EC7 2008>";"Кузов внутри";"Бачок омывателя лобового стекла";;RUB
7795;"К-кт ковриков салона для Geely EMGRAND EC7 2008>";84940;b4719f667.jpg;"EMGRAND EC7 2008>";"Кузов внутри";"К-кт ковриков салона";;RUB
7796;"Коврик багажника для Geely EMGRAND EC7 2008>";NPA00-T24-080;"no image";"EMGRAND EC7 2008>";"Кузов внутри";"Коврик багажника";;RUB
7797;"К-кт ветровиков (дефлекторы) бокового стекла для Geely EMGRAND EC7 2008>";G10612;c1101319b.jpg;"EMGRAND EC7 2008>";"Кузов наружные элементы";"К-кт ветровиков (дефлекторы) бокового стекла";;RUB
7798;"К-кт ветровиков (дефлекторы) бокового стекла для Geely EMGRAND EC7 2008>";G10512;5d4b22891.jpg;"EMGRAND EC7 2008>";"Кузов наружные элементы";"К-кт ветровиков (дефлекторы) бокового стекла";;RUB
7799;"Элемент передней панели для Geely EMGRAND EC7 2008>";106200207402;"no image";"EMGRAND EC7 2008>";"Кузов наружные элементы";"Элемент передней панели";;RUB
7800;"Элемент передней панели для Geely EMGRAND EC7 2008>";106200207602;"no image";"EMGRAND EC7 2008>";"Кузов наружные элементы";"Элемент передней панели";;RUB
7801;"Повторитель в зеркало для Geely EMGRAND EC7 2008>";1068020435;"no image";"EMGRAND EC7 2008>";Оптика;"Повторитель в зеркало";;RUB
7802;"Фонарь задний противотуманный правый для Geely EMGRAND EC7 2008>";1067001219;"no image";"EMGRAND EC7 2008>";Оптика;"Фонарь задний противотуманный правый";;RUB
7803;"Стойка переднего стабилизатора для Geely EMGRAND EC7 2008>";1064000097;"no image";"EMGRAND EC7 2008>";"Подвеска передних колёс";"Стойка переднего стабилизатора";;RUB
7804;"Наконечник рулевой левый для Geely EMGRAND EC7 2008>";1064001707;"no image";"EMGRAND EC7 2008>";"Рулевое управление";"Наконечник рулевой левый";;RUB
7805;"Наконечник рулевой правый для Geely EMGRAND EC7 2008>";1064001708;"no image";"EMGRAND EC7 2008>";"Рулевое управление";"Наконечник рулевой правый";;RUB
7806;"Болт подвески глушителя для Geely EMGRAND EC7 2008>";1064000045;"no image";"EMGRAND EC7 2008>";"Система выпуска отработанных газов";"Болт подвески глушителя";;RUB
7807;"Колодки тормозные задние дисковые к-кт для Geely EMGRAND EC7 2008>";1064001725;"no image";"EMGRAND EC7 2008>";"Тормозная система";"Колодки тормозные задние дисковые к-кт";;RUB
7808;"Колодки тормозные передние к-кт для Geely EMGRAND EC7 2008>";1064001724;"no image";"EMGRAND EC7 2008>";"Тормозная система";"Колодки тормозные передние к-кт";;RUB
7809;"Вилка включения передачи для Geely EMGRAND EC7 2008>";3170205401;"no image";"EMGRAND EC7 2008>";Трансмиссия;"Вилка включения передачи";;RUB
7810;"Корзина сцепления для Geely EMGRAND EC7 2008>";W02210J;"no image";"EMGRAND EC7 2008>";Трансмиссия;"Корзина сцепления";;RUB
7811;"Подшипник передней ступицы для Geely EMGRAND EC7 2008>";1064001701;"no image";"EMGRAND EC7 2008>";Трансмиссия;"Подшипник передней ступицы";;RUB
7812;"Датчик ABS передний для Geely EMGRAND EC7 2008>";1067000020;"no image";"EMGRAND EC7 2008>";Электрооснащение;"Датчик ABS передний";;RUB
7813;"Провод высокого напряжения для Geely EMGRAND EC7 2008>";1136000176;"no image";"EMGRAND EC7 2008>";Электрооснащение;"Провод высокого напряжения";;RUB
7814;"Провод высокого напряжения для Geely EMGRAND EC7 2008>";1136000177;"no image";"EMGRAND EC7 2008>";Электрооснащение;"Провод высокого напряжения";;RUB
7815;"Провод высокого напряжения для Geely EMGRAND EC7 2008>";1136000178;"no image";"EMGRAND EC7 2008>";Электрооснащение;"Провод высокого напряжения";;RUB
7816;"Фильтр масляный для Geely EMGRAND X7 2013>";1016050404;"no image";"EMGRAND X7 2013>";Двигатель;"Фильтр масляный";;RUB
7817;"К-кт ковриков салона для Geely EMGRAND X7 2013>";85845;300264ac9.jpg;"EMGRAND X7 2013>";"Кузов внутри";"К-кт ковриков салона";;RUB
7818;"Фильтр салона для Geely EMGRAND X7 2013>";1017016545;"no image";"EMGRAND X7 2013>";"Кузов внутри";"Фильтр салона";;RUB
7819;"Бампер передний для Geely EMGRAND X7 2013>";1018010301;"no image";"EMGRAND X7 2013>";"Кузов наружные элементы";"Бампер передний";;RUB
7820;"Дверь багажника для Geely EMGRAND X7 2013>";101201406402;"no image";"EMGRAND X7 2013>";"Кузов наружные элементы";"Дверь багажника";;RUB
7821;"К-кт ветровиков (дефлекторы) бокового стекла для Geely EMGRAND X7 2013>";G10713;f5e87623d.jpg;"EMGRAND X7 2013>";"Кузов наружные элементы";"К-кт ветровиков (дефлекторы) бокового стекла";;RUB
7822;"Кронштейн заднего бампера левый для Geely EMGRAND X7 2013>";1018013273;"no image";"EMGRAND X7 2013>";"Кузов наружные элементы";"Кронштейн заднего бампера левый";;RUB
7823;"Накладка крышки багажника для Geely EMGRAND X7 2013>";1018011611;"no image";"EMGRAND X7 2013>";"Кузов наружные элементы";"Накладка крышки багажника";;RUB
7824;"Болт подвески глушителя для Geely EMGRAND X7 2013>";1064000045;"no image";"EMGRAND X7 2013>";"Система выпуска отработанных газов";"Болт подвески глушителя";;RUB
