IE_XML_ID;IE_NAME;IP_PROP9;IP_PROP13;IC_GROUP0;IC_GROUP1;IC_GROUP2;CV_PRICE_1;CV_CURRENCY_1
7825;"Замок двери передней правой для Geely MK 2008>";1018005290;"no image";"MK 2008>";"Кузов внутри";"Замок двери передней правой";;RUB
7826;"К-кт ковриков салона для Geely MK 2008>";85286;8afb83cb3.jpg;"MK 2008>";"Кузов внутри";"К-кт ковриков салона";;RUB
7827;"Коврик багажника для Geely MK 2008>";NPL-P-24-34;"no image";"MK 2008>";"Кузов внутри";"Коврик багажника";;RUB
7828;"Коврик багажника для Geely MK 2008>";NPL-P-24-30;d42a05822.jpg;"MK 2008>";"Кузов внутри";"Коврик багажника";;RUB
7829;"Петля двери передней левой нижняя для Geely MK 2008>";1012000970;"no image";"MK 2008>";"Кузов внутри";"Петля двери передней левой нижняя";;RUB
7830;"Фильтр салона для Geely MK 2008>";1018002773;"no image";"MK 2008>";"Кузов внутри";"Фильтр салона";;RUB
7831;"Бампер задний для Geely MK 2008>";1018005772;"no image";"MK 2008>";"Кузов наружные элементы";"Бампер задний";;RUB
7832;"Бампер передний для Geely MK 2008>";1018005851;"no image";"MK 2008>";"Кузов наружные элементы";"Бампер передний";;RUB
7833;"Зеркало левое электрическое для Geely MK 2008>";101800481501;"no image";"MK 2008>";"Кузов наружные элементы";"Зеркало левое электрическое";;RUB
7834;"К-кт ветровиков (дефлекторы) бокового стекла для Geely MK 2008>";G10108;272bcc353.jpg;"MK 2008>";"Кузов наружные элементы";"К-кт ветровиков (дефлекторы) бокового стекла";;RUB
7835;"К-кт ветровиков (дефлекторы) бокового стекла для Geely MK 2008>";G10410;c5ffcf32c.jpg;"MK 2008>";"Кузов наружные элементы";"К-кт ветровиков (дефлекторы) бокового стекла";;RUB
7836;"Кронштейн переднего бампера левый для Geely MK 2008>";1018005962;"no image";"MK 2008>";"Кузов наружные элементы";"Кронштейн переднего бампера левый";;RUB
7837;"Локер передний левый для Geely MK 2008>";1018005076;"no image";"MK 2008>";"Кузов наружные элементы";"Локер передний левый";;RUB
7838;"Локер передний правый для Geely MK 2008>";1018005077;"no image";"MK 2008>";"Кузов наружные элементы";"Локер передний правый";;RUB
